feature,importance,cumulative_importance
id_15,1239.7435150146484,0.9877342197045804
V172,1221.4770202636719,0.9879726043806489
V139,1213.787124633789,0.9882094882890008
V267,1169.2130126953125,0.9884376730691176
V24,1164.9779815673828,0.9886650313363268
V66,1147.8059844970703,0.9888890382994253
V223,1126.2130279541016,0.9891088311595441
V77,1125.4980010986328,0.989328484474307
V293,1124.8529815673828,0.9895480119064136
V128,1111.1760177612305,0.9897648701285945
V99,1108.5490112304688,0.9899812156615553
V141,1048.192611694336,0.99018578197926
M7,1024.0209884643555,0.990385630938817
V206,984.3130035400391,0.9905777304483504
V163,967.2700042724609,0.9907665038291132
V177,959.3170166015625,0.9909537250968538
V96,937.5789947509766,0.991136703950524
V178,920.4910125732422,0.991316347896514
V79,913.5485000610352,0.9914946369348235
V200,900.1749877929688,0.9916703159851128
V4,896.4636917114258,0.9918452707351496
V94,816.8739929199219,0.992004692680025
V25,799.5490112304688,0.9921607334641586
V319,795.0758934020996,0.9923159012701462
V263,793.9000091552734,0.992470839589389
V143,774.4619903564453,0.9926219843654558
V10,761.746696472168,0.99277064761206
C10,712.0472946166992,0.9929096114737265
V97,702.0929718017578,0.9930466326398036
V333,698.3720092773438,0.9931829276191156
V248,695.0889892578125,0.9933185818809596
V150,693.8300018310547,0.9934539904375589
V135,666.8629989624023,0.9935841360869264
V215,647.7619857788086,0.9937105539634707
V220,634.4697952270508,0.9938343777228222
M8,628.9079895019531,0.9939571160346097
V306,622.1069946289062,0.9940785270574406
V192,613.2439880371094,0.9941982083670469
V298,605.6019897460938,0.9943163982566291
V336,604.4616012573242,0.994434365586854
V301,591.224494934082,0.9945497495501792
V72,579.3839721679688,0.9946628227052474
V161,564.3690872192383,0.9947729655403627
V291,562.9563064575195,0.9948828326557724
V304,540.7266998291016,0.9949883614189353
V324,539.665397644043,0.9950936830573032
V132,532.0222930908203,0.9951975130597475
V52,507.66109466552734,0.9952965887063596
V105,504.7320098876953,0.995395092709859
V73,502.5840148925781,0.9954931775085084
V234,494.1070098876953,0.9955896079263887
V166,478.7556915283203,0.9956830423656354
addr2,478.40699005126953,0.9957764087519533
V260,468.7379913330078,0.9958678881268177
V230,467.37200927734375,0.9959591009152589
D12,464.7142028808594,0.9960497950035474
V216,463.69598388671875,0.9961402903751994
V170,444.81298828125,0.9962271005225566
V134,437.8790054321289,0.9963125574268908
id_04,434.94679260253906,0.9963974420776387
V214,433.50201416015625,0.9964820447639818
V300,418.5386047363281,0.9965637271763866
D14,416.92301177978516,0.9966450942880555
V71,413.9049987792969,0.9967258724012907
V286,412.4554901123047,0.996806367626966
V63,396.4829864501953,0.9968837456428628
V221,395.7070007324219,0.9969609722166114
V218,388.48199462890625,0.9970367887509479
V295,379.01800537109375,0.9971107582836822
V203,378.3110046386719,0.997184589837447
V338,371.68499755859375,0.9972571282530476
V251,368.3160095214844,0.9973290091735758
V171,367.697998046875,0.997400769482367
V11,362.58799743652344,0.997471532518332
V219,354.927001953125,0.9975408004267616
V8,332.77630615234375,0.9976057453832605
V288,331.48899841308594,0.9976704391074944
V233,329.31500244140625,0.9977347085525018
V26,323.447998046875,0.9977978329870677
V47,322.5135955810547,0.9978607750627145
V144,319.3489990234375,0.9979230995325343
V245,316.3927993774414,0.9979848470674767
V332,311.41429901123047,0.9980456229933119
V270,309.1289978027344,0.9981059529174792
V271,306.02500915527344,0.9981656770641198
V290,288.79969787597656,0.9982220395017954
V278,283.48899841308594,0.9982773654980562
V46,282.4100036621094,0.998332480916623
V272,274.74959564208984,0.9983861013223044
V232,272.2699966430664,0.9984392378069671
V162,258.13800048828125,0.998489616277136
V137,257.8159942626953,0.9985399319042481
V151,254.5760040283203,0.9985896152116279
V292,254.20700073242188,0.9986392265039556
V302,247.69200897216797,0.9986875663239801
V210,247.07200622558594,0.998735785143649
V180,244.96599578857422,0.9987835929522161
V142,226.42410278320312,0.9988277821064128
V339,211.2310028076172,0.9988690061600335
V60,206.52699279785156,0.9989093121743595
V268,200.16000366210938,0.9989483756007222
V274,200.07699584960938,0.9989874228271973
M1,199.4269027709961,0.9990263431808575
V106,195.9510040283203,0.9990645851746451
V101,195.52760314941406,0.999102744537094
V211,189.0500030517578,0.9991396397246338
V253,187.11109924316406,0.9991761565137686
V328,179.8459930419922,0.9992112554375161
V109,170.10000610351562,0.9992444523247122
V205,169.2570037841797,0.999277484690733
V185,166.06399536132812,0.9993098939060389
V43,166.0399932861328,0.9993422984370757
V145,159.46160125732422,0.9993734191225495
V330,152.5959930419922,0.9994031999090622
V297,150.23300170898438,0.9994325195318248
DeviceType,150.0030059814453,0.9994617942683912
V259,145.13699340820312,0.9994901193490806
V9,139.85899353027344,0.9995174143700387
V123,138.46400451660156,0.9995444371435468
id_16,136.17599487304688,0.999571013386806
V280,136.0709991455078,0.9995975691389941
V40,135.0780029296875,0.9996239310970484
V103,127.17500305175781,0.9996487506977478
V208,127.08599853515625,0.9996735529282369
V277,122.94599914550781,0.9996975471923074
V222,120.25199890136719,0.9997210156925977
id_28,117.55599975585938,0.9997439580390003
V179,117.45999908447266,0.999766881649816
V264,115.96700286865234,0.9997895138859979
id_37,114.09400177001953,0.9998117805854135
V3,114.03900146484375,0.9998340365509147
V93,111.15799713134766,0.9998557302567307
V121,106.1520004272461,0.9998764469872267
V322,102.05699920654297,0.9998963645331918
V125,102.04299926757812,0.9999162793469147
V167,100.13099670410156,0.9999358210123065
V335,92.51090240478516,0.999953875532479
V321,85.71289825439453,0.9999706033473673
V273,84.77729797363281,0.9999871485695697
V51,65.85040283203125,1.0
V107,0.0,1.0
V334,0.0,1.0
V88,0.0,1.0
V110,0.0,1.0
V89,0.0,1.0
V108,0.0,1.0
V92,0.0,1.0
V323,0.0,1.0
V325,0.0,1.0
V100,0.0,1.0
V98,0.0,1.0
V329,0.0,1.0
V95,0.0,1.0
V327,0.0,1.0
V326,0.0,1.0
V104,0.0,1.0
V213,0.0,1.0
V85,0.0,1.0
V337,0.0,1.0
V27,0.0,1.0
id_32,0.0,1.0
V22,0.0,1.0
id_34,0.0,1.0
id_35,0.0,1.0
id_36,0.0,1.0
V21,0.0,1.0
V18,0.0,1.0
V17,0.0,1.0
V16,0.0,1.0
TransactionDT_is_weekend,0.0,1.0
V15,0.0,1.0
V14,0.0,1.0
device_multi_card,0.0,1.0
V1,0.0,1.0
V28,0.0,1.0
id_29,0.0,1.0
V31,0.0,1.0
V57,0.0,1.0
V84,0.0,1.0
V80,0.0,1.0
V68,0.0,1.0
V65,0.0,1.0
V58,0.0,1.0
V112,0.0,1.0
V50,0.0,1.0
V32,0.0,1.0
id_10,0.0,1.0
V42,0.0,1.0
id_12,0.0,1.0
V41,0.0,1.0
V39,0.0,1.0
V33,0.0,1.0
V111,0.0,1.0
V299,0.0,1.0
V113,0.0,1.0
V188,0.0,1.0
V242,0.0,1.0
V193,0.0,1.0
V191,0.0,1.0
V190,0.0,1.0
V246,0.0,1.0
V247,0.0,1.0
V249,0.0,1.0
V240,0.0,1.0
V250,0.0,1.0
V252,0.0,1.0
V254,0.0,1.0
V255,0.0,1.0
V184,0.0,1.0
V257,0.0,1.0
V241,0.0,1.0
V239,0.0,1.0
V182,0.0,1.0
V198,0.0,1.0
V204,0.0,1.0
V202,0.0,1.0
V226,0.0,1.0
V227,0.0,1.0
V199,0.0,1.0
V229,0.0,1.0
V197,0.0,1.0
V238,0.0,1.0
V196,0.0,1.0
V195,0.0,1.0
V194,0.0,1.0
V235,0.0,1.0
V236,0.0,1.0
V237,0.0,1.0
V183,0.0,1.0
V181,0.0,1.0
V114,0.0,1.0
V119,0.0,1.0
V287,0.0,1.0
V146,0.0,1.0
V140,0.0,1.0
V138,0.0,1.0
V122,0.0,1.0
V120,0.0,1.0
V212,0.0,1.0
V148,0.0,1.0
V118,0.0,1.0
V117,0.0,1.0
V116,0.0,1.0
V303,0.0,1.0
V115,0.0,1.0
V305,0.0,1.0
V147,0.0,1.0
V284,0.0,1.0
V262,0.0,1.0
V168,0.0,1.0
V265,0.0,1.0
V176,0.0,1.0
V175,0.0,1.0
V174,0.0,1.0
V269,0.0,1.0
V173,0.0,1.0
V158,0.0,1.0
V153,0.0,1.0
V275,0.0,1.0
V276,0.0,1.0
V157,0.0,1.0
V279,0.0,1.0
V155,0.0,1.0
V154,0.0,1.0
V186,0.0,1.0
